"MONTH","P_TC","P_PFPR","P_TACT","FREQ_plasmepsin_95","FREQ_plasmepsin_50","FREQ_plasmepsin_05","FREQ_580Y_95","FREQ_580Y_50","FREQ_580Y_05","FREQ_mdr1_95","FREQ_mdr1_50","FREQ_mdr1_05","FREQ_184F_95","FREQ_184F_50","FREQ_184F_05","FREQ_86Y_95","FREQ_86Y_50","FREQ_86Y_05","FREQ_76T_95","FREQ_76T_50","FREQ_76T_05"
60,0.25,0.001,"ASMQ_PPQ",0.2135246,0.01675305,0,0.3568539,0.07655095,0.0082823745,0.27887,0.035441,0,0.2335343,0.0442468,0,0.9619585,0.6279445,0.2108487,0.9718833,0.7119175,0.3513823
61,0.25,0.001,"ASMQ_PPQ",0.2073068,0.01644195,0,0.3758034,0.074614,0.0063644285,0.29705325,0.0379386,0,0.22334065,0.03694235,0,0.96835965,0.6322345,0.1990116,0.9791,0.7084165,0.3587742
62,0.25,0.001,"ASMQ_PPQ",0.20887235,0.0167152,0,0.3685579,0.0695159,0.0033882145,0.29631705,0.0426322,0,0.2433753,0.0378197,0,0.97306535,0.6253985,0.1946104,0.9779897,0.7149575,0.34599495
63,0.25,0.001,"ASMQ_PPQ",0.2088126,0.0183433,0,0.368313,0.07982965,0.0053661435,0.2836479,0.0406766,0,0.2508263,0.0430326,0,0.9692763,0.6330885,0.21134485,0.98116325,0.7166295,0.32896475
64,0.25,0.001,"ASMQ_PPQ",0.21564705,0.0174452,0,0.36554595,0.0699213,0.0059202475,0.2650255,0.0413946,0,0.2522149,0.0444316,0,0.9616235,0.6247235,0.212959,0.9781368,0.7060855,0.3165589
65,0.25,0.001,"ASMQ_PPQ",0.20437075,0.0148382,0,0.37555215,0.0721849,0.0045848435,0.268197,0.0407727,0,0.26383275,0.0414058,0,0.9620216,0.618676,0.2047805,0.98192075,0.7112135,0.3071566
66,0.25,0.001,"ASMQ_PPQ",0.19913185,0.01669635,0,0.35444365,0.07925825,0.0061809535,0.2969453,0.0424395,0,0.2595725,0.03810725,0,0.9652177,0.622469,0.20278565,0.9813244,0.7251115,0.3059784
67,0.25,0.001,"ASMQ_PPQ",0.1823208,0.01533295,0,0.33738705,0.090954,0.0042217655,0.28838095,0.04046615,0,0.2694941,0.0403936,0,0.95752685,0.6183205,0.19363265,0.97904405,0.7177035,0.33866155
68,0.25,0.001,"ASMQ_PPQ",0.1674904,0.0142256,0,0.3482526,0.0912358,0.0038789795,0.28530785,0.03827445,0,0.2696908,0.04128365,0,0.94356735,0.6244285,0.1558445,0.9756999,0.709032,0.319467
69,0.25,0.001,"ASMQ_PPQ",0.17726765,0.01703105,0,0.33243775,0.0860018,0.0046262165,0.2710021,0.03959755,0,0.25211785,0.04695555,0,0.94799765,0.616081,0.1826264,0.96879565,0.701567,0.32634755
